WD,Area,Wage,Name,Code
4297,99000,0,Vending Machine Repairer),99842
4297,99000,18.73,Vending Machine Repairer,99841
4297,99000,14.92,Vending Machine Attendant,99840
4297,99000,19.42,Surveying Technician,99832
4297,99000,13.63,Surveying Aide,99831
4297,99000,21.94,Survey Party Chief,99830
4297,99000,14.77,School Crossing Guard,99820
4297,99000,12.09,Sales Clerk,99810
4297,99000,17.55,Refuse Collector,99730
4297,99000,20.53,Recycling Specialist,99711
4297,99000,18.5,Recycling Laborer,99710
4297,99000,13.2,Photofinishing Worker,99510
4297,99000,19.46,Pest Controller,99410
4297,99000,31.73,Mortician,99310
4297,99000,23.43,Marketing Analyst,99260
4297,99000,13.59,Laboratory Animal Caretaker II,99252
4297,99000,12.43,Laboratory Animal Caretaker I,99251
4297,99000,25.6,Flight Follower,99130
4297,99000,25.36,Embalmer,99095
4297,99000,11.58,Desk Clerk,99050
4297,99000,10,Cashier,99030
4297,99000,15.1,Cabin Safety Specialist,99020
4297,31000,19.23,"Truckdriver, Tractor-Trailer",31364
4297,31000,19.23,"Truckdriver, Heavy",31363
4297,31000,17.9,"Truckdriver, Medium",31362
4297,31000,15.66,"Truckdriver, Light",31361
4297,31000,13.98,Taxi Driver,31310
4297,31000,15.66,Shuttle Bus Driver,31290
4297,31000,11.08,Parking and Lot Attendant,31260
4297,31000,13.98,Driver Courier,31043
4297,31000,20.85,Bus Driver,31030
4297,31000,15.75,Bus Aide,31020
4297,31000,30.98,Airplane Pilot,31010
4297,30000,27.37,"Weather Observer, Senior (see 2)",30621
4297,30000,25.19,"Weather Observer, Combined Upper Air Or (see 2)",30620
4297,30000,37.71,Weather Forecaster II,30502
4297,30000,31,Weather Forecaster I,30501
4297,30000,25.6,Unexploded (UXO) Sweep Personnel,30495
4297,30000,25.6,Unexploded (UXO) Safety Escort,30494
4297,30000,37.13,Unexploded Ordnance (UXO) Technician III,30493
4297,30000,30.98,Unexploded Ordnance (UXO) Technician II,30492
4297,30000,25.6,Unexploded Ordnance (UXO) Technician I,30491
4297,30000,32.81,Technical Writer III,30463
4297,30000,27.11,Technical Writer II,30462
4297,30000,22.17,Technical Writer I,30461
4297,30000,27.11,Radiation Control Technician,30395
4297,30000,27.98,Photo-Optics Technician,30390
4297,30000,27.11,Petroleum Supply Specialist,30375
4297,30000,39.16,Paralegal/Legal Assistant IV,30364
4297,30000,32.36,Paralegal/Legal Assistant III,30363
4297,30000,26.47,Paralegal/Legal Assistant II,30362
4297,30000,21.36,Paralegal/Legal Assistant I,30361
4297,30000,28.94,Mathematical Technician,30240
4297,30000,27.11,Latent Fingerprint Technician II,30222
4297,30000,24.55,Latent Fingerprint Technician I,30221
4297,30000,23.38,Laboratory Technician,30210
4297,30000,22.17,Evidence Control Specialist,30095
4297,30000,27.41,Environmental Technician,30090
4297,30000,52.76,Engineering Technician VI,30086
4297,30000,43.61,Engineering Technician V,30085
4297,30000,35.64,Engineering Technician IV,30084
4297,30000,28.79,Engineering Technician III,30083
4297,30000,25.72,Engineering Technician II,30082
4297,30000,22.92,Engineering Technician I,30081
4297,30000,31,Drafter/CAD Operator IV,30064
4297,30000,25.19,Drafter/CAD Operator III,30063
4297,30000,22.6,Drafter/CAD Operator II,30062
4297,30000,20.19,Drafter/CAD Operator I,30061
4297,30000,27.11,Cryogenic Technician II,30052
4297,30000,24.55,Cryogenic Technician I,30051
4297,30000,26.41,Civil Engineering Technician,30040
4297,30000,27.98,Cartographic Technician,30030
4297,30000,27.98,Archeological Technician III,30023
4297,30000,22.6,Archeological Technician II,30022
4297,30000,20.19,Archeological Technician I,30021
4297,30000,30.6,"Air Traffic Control Specialist, Terminal (HFO) (see 2)",30012
4297,30000,27.78,"Air Traffic Control Specialist, Station (HFO) (see 2)",30011
4297,30000,40.29,"Air Traffic Control Specialist, Center (HFO) (see 2)",30010
4297,29000,24.24,Stevedore II,29042
4297,29000,21.31,Stevedore I,29041
4297,29000,23.13,Line Handler,29030
4297,29000,23.13,Hatch Tender,29020
4297,29000,23.13,Blocker And Bracer,29010
4297,28000,18.21,Swimming Pool Operator,28690
4297,28000,11.59,Sports Official,28630
4297,28000,17.15,Recreation Specialist,28515
4297,28000,10.62,Recreation Aide/Health Facility Attendant,28510
4297,28000,14.56,Park Attendant (Aide),28350
4297,28000,11.59,Lifeguard,28310
4297,28000,13.01,Gate Attendant/Gate Tender,28210
4297,28000,9.58,Carnival Worker,28043
4297,28000,13.46,Carnival Equipment Repairer,28042
4297,28000,12.49,Carnival Equipment Operator,28041
4297,27000,29.67,Police Officer II,27132
4297,27000,26.52,Police Officer I,27131
4297,27000,17.77,Guard II,27102
4297,27000,12.71,Guard I,27101
4297,27000,24.63,Firefighter,27070
4297,27000,22.8,Detention Officer,27040
4297,27000,17.77,Detection Dog Handler,27030
4297,27000,24.72,Court Security Officer,27010
4297,27000,22.8,Corrections Officer,27008
4297,27000,12.71,Baggage Inspector,27007
4297,27000,17.77,Alarm Monitor,27004
4297,25000,20.84,Water Treatment Plant Operator,25210
4297,25000,19.49,Ventilation Equipment Tender,25190
4297,25000,27.3,Stationary Engineer,25070
4297,25000,20.84,Sewage Plant Operator,25040
4297,25000,27.3,Boiler Tender,25010
4297,24000,17.73,Homemaker,24630
4297,24000,16.5,Family Readiness And Support Services,24620
4297,24000,10.57,Chore Aide,24610
4297,24000,15.95,Child Care Center Clerk,24580
4297,24000,12.79,Child Care Attendant,24570
4297,24000,16.5,Case Manager,24550
4297,23000,19.38,Woodworker,23980
4297,23000,22.93,Woodcraft Worker,23970
4297,23000,22.93,Well Driller,23965
4297,23000,22.91,"Welder, Combination, Maintenance",23960
4297,23000,30.15,Telephone Lineman,23950
4297,23000,31.55,Telecommunications Mechanic II,23932
4297,23000,29.95,Telecommunications Mechanic I,23931
4297,23000,21.42,Small Engine Mechanic,23910
4297,23000,22.91,"Sheet-Metal Worker, Maintenance",23890
4297,23000,21.42,Scale Mechanic,23870
4297,23000,22.93,Rigger,23850
4297,23000,22.93,Pneudraulic Systems Mechanic,23820
4297,23000,22.29,"Plumber, Maintenance",23810
4297,23000,24.63,"Pipefitter, Maintenance",23790
4297,23000,21.75,"Painter, Maintenance",23760
4297,23000,22.96,Office Appliance Repairer,23710
4297,23000,28.19,Millwright,23640
4297,23000,24.96,Metrology Technician III,23593
4297,23000,23.8,Metrology Technician II,23592
4297,23000,22.93,Metrology Technician I,23591
4297,23000,18.27,Maintenance Trades Helper,23580
