WD,Area,Wage,Name,Code
4451,99000,0,Vending Machine Repairer),99842
4451,99000,16.02,Vending Machine Repairer,99841
4451,99000,12.91,Vending Machine Attendant,99840
4451,99000,17.62,Surveying Technician,99832
4451,99000,12.85,Surveying Aide,99831
4451,99000,19.39,Survey Party Chief,99830
4451,99000,12.39,School Crossing Guard,99820
4451,99000,11.26,Sales Clerk,99810
4451,99000,10.83,Refuse Collector,99730
4451,99000,14.25,Recycling Specialist,99711
4451,99000,11.98,Recycling Laborer,99710
4451,99000,13.01,Photofinishing Worker,99510
4451,99000,15.32,Pest Controller,99410
4451,99000,26.17,Mortician,99310
4451,99000,27.03,Marketing Analyst,99260
4451,99000,12.31,Laboratory Animal Caretaker II,99252
4451,99000,11.21,Laboratory Animal Caretaker I,99251
4451,99000,23.46,Flight Follower,99130
4451,99000,26.17,Embalmer,99095
4451,99000,9.64,Desk Clerk,99050
4451,99000,8.59,Cashier,99030
4451,99000,13.84,Cabin Safety Specialist,99020
4451,31000,19.23,"Truckdriver, Tractor-Trailer",31364
4451,31000,19.23,"Truckdriver, Heavy",31363
4451,31000,16.7,"Truckdriver, Medium",31362
4451,31000,15.03,"Truckdriver, Light",31361
4451,31000,10.75,Taxi Driver,31310
4451,31000,15.03,Shuttle Bus Driver,31290
4451,31000,9.59,Parking and Lot Attendant,31260
4451,31000,13.66,Driver Courier,31043
4451,31000,12.73,Bus Driver,31030
4451,31000,9.23,Bus Aide,31020
4451,31000,28.39,Airplane Pilot,31010
4451,30000,23.24,"Weather Observer, Senior (see 2)",30621
4451,30000,22.09,"Weather Observer, Combined Upper Air Or (see 2)",30620
4451,30000,36.31,Weather Forecaster II,30502
4451,30000,29.85,Weather Forecaster I,30501
4451,30000,23.46,Unexploded (UXO) Sweep Personnel,30495
4451,30000,23.46,Unexploded (UXO) Safety Escort,30494
4451,30000,34.03,Unexploded Ordnance (UXO) Technician III,30493
4451,30000,28.39,Unexploded Ordnance (UXO) Technician II,30492
4451,30000,23.46,Unexploded Ordnance (UXO) Technician I,30491
4451,30000,32.11,Technical Writer III,30463
4451,30000,27.81,Technical Writer II,30462
4451,30000,22.74,Technical Writer I,30461
4451,30000,27.81,Radiation Control Technician,30395
4451,30000,23.24,Photo-Optics Technician,30390
4451,30000,27.81,Petroleum Supply Specialist,30375
4451,30000,32.53,Paralegal/Legal Assistant IV,30364
4451,30000,26.89,Paralegal/Legal Assistant III,30363
4451,30000,21.98,Paralegal/Legal Assistant II,30362
4451,30000,17.74,Paralegal/Legal Assistant I,30361
4451,30000,23.24,Mathematical Technician,30240
4451,30000,27.81,Latent Fingerprint Technician II,30222
4451,30000,25.18,Latent Fingerprint Technician I,30221
4451,30000,20.73,Laboratory Technician,30210
4451,30000,22.74,Evidence Control Specialist,30095
4451,30000,22.74,Environmental Technician,30090
4451,30000,39.07,Engineering Technician VI,30086
4451,30000,32.31,Engineering Technician V,30085
