WD,Area,Wage,Name,Code
5047,99000,0,Vending Machine Repairer),99842
5047,99000,23.19,Vending Machine Repairer,99841
5047,99000,19.48,Vending Machine Attendant,99840
5047,99000,19.5,Surveying Technician,99832
5047,99000,15.1,Surveying Aide,99831
5047,99000,24.76,Survey Party Chief,99830
5047,99000,15.24,School Crossing Guard,99820
5047,99000,12.95,Sales Clerk,99810
5047,99000,16.48,Refuse Collector,99730
5047,99000,20.42,Recycling Specialist,99711
5047,99000,17.79,Recycling Laborer,99710
5047,99000,12.83,Photofinishing Worker,99510
5047,99000,19.25,Pest Controller,99410
5047,99000,30.13,Mortician,99310
5047,99000,24.82,Marketing Analyst,99260
5047,99000,20.46,Laboratory Animal Caretaker II,99252
5047,99000,19.18,Laboratory Animal Caretaker I,99251
5047,99000,23.46,Flight Follower,99130
5047,99000,27.12,Embalmer,99095
5047,99000,11.94,Desk Clerk,99050
5047,99000,9.94,Cashier,99030
5047,99000,13.84,Cabin Safety Specialist,99020
5047,31000,24.15,"Truckdriver, Tractor-Trailer",31364
5047,31000,24.15,"Truckdriver, Heavy",31363
5047,31000,22.78,"Truckdriver, Medium",31362
5047,31000,17.3,"Truckdriver, Light",31361
5047,31000,12.74,Taxi Driver,31310
5047,31000,17.3,Shuttle Bus Driver,31290
5047,31000,12.14,Parking and Lot Attendant,31260
5047,31000,19.14,Driver Courier,31043
5047,31000,22.93,Bus Driver,31030
5047,31000,17.27,Bus Aide,31020
5047,31000,28.39,Airplane Pilot,31010
5047,30000,24.44,"Weather Observer, Senior (see 2)",30621
5047,30000,21.99,"Weather Observer, Combined Upper Air Or (see 2)",30620
5047,30000,29.04,Weather Forecaster II,30502
5047,30000,23.87,Weather Forecaster I,30501
5047,30000,24.91,Unexploded (UXO) Sweep Personnel,30495
5047,30000,24.91,Unexploded (UXO) Safety Escort,30494
5047,30000,36.13,Unexploded Ordnance (UXO) Technician III,30493
5047,30000,30.14,Unexploded Ordnance (UXO) Technician II,30492
5047,30000,24.91,Unexploded Ordnance (UXO) Technician I,30491
5047,30000,37.23,Technical Writer III,30463
5047,30000,30.77,Technical Writer II,30462
5047,30000,25.16,Technical Writer I,30461
5047,30000,26.37,Radiation Control Technician,30395
5047,30000,26.33,Photo-Optics Technician,30390
5047,30000,26.37,Petroleum Supply Specialist,30375
5047,30000,37.63,Paralegal/Legal Assistant IV,30364
5047,30000,31.14,Paralegal/Legal Assistant III,30363
5047,30000,25.43,Paralegal/Legal Assistant II,30362
5047,30000,20.55,Paralegal/Legal Assistant I,30361
5047,30000,26.13,Mathematical Technician,30240
5047,30000,26.37,Latent Fingerprint Technician II,30222
5047,30000,23.87,Latent Fingerprint Technician I,30221
5047,30000,22.13,Laboratory Technician,30210
5047,30000,21.56,Evidence Control Specialist,30095
5047,30000,24.28,Environmental Technician,30090
5047,30000,40.57,Engineering Technician VI,30086
5047,30000,34.56,Engineering Technician V,30085
5047,30000,28.26,Engineering Technician IV,30084
5047,30000,22.81,Engineering Technician III,30083
5047,30000,20.39,Engineering Technician II,30082
5047,30000,17.38,Engineering Technician I,30081
5047,30000,28.96,Drafter/CAD Operator IV,30064
5047,30000,21.99,Drafter/CAD Operator III,30063
5047,30000,19.76,Drafter/CAD Operator II,30062
5047,30000,17.64,Drafter/CAD Operator I,30061
5047,30000,26.37,Cryogenic Technician II,30052
5047,30000,23.87,Cryogenic Technician I,30051
5047,30000,27.01,Civil Engineering Technician,30040
5047,30000,26.33,Cartographic Technician,30030
5047,30000,26.59,Archeological Technician III,30023
5047,30000,19.76,Archeological Technician II,30022
5047,30000,17.64,Archeological Technician I,30021
5047,30000,29.77,"Air Traffic Control Specialist, Terminal (HFO) (see 2)",30012
5047,30000,27.03,"Air Traffic Control Specialist, Station (HFO) (see 2)",30011
5047,30000,39.2,"Air Traffic Control Specialist, Center (HFO) (see 2)",30010
5047,29000,25.07,Stevedore II,29042
5047,29000,22.4,Stevedore I,29041
5047,29000,23.75,Line Handler,29030
5047,29000,23.75,Hatch Tender,29020
5047,29000,23.75,Blocker And Bracer,29010
5047,28000,20.03,Swimming Pool Operator,28690
5047,28000,14.64,Sports Official,28630
5047,28000,18.25,Recreation Specialist,28515
5047,28000,11.4,Recreation Aide/Health Facility Attendant,28510
5047,28000,18.37,Park Attendant (Aide),28350
5047,28000,13.1,Lifeguard,28310
5047,28000,16.44,Gate Attendant/Gate Tender,28210
5047,28000,11.17,Carnival Worker,28043
5047,28000,14.43,Carnival Equipment Repairer,28042
5047,28000,13.71,Carnival Equipment Operator,28041
5047,27000,33.11,Police Officer II,27132
5047,27000,30.33,Police Officer I,27131
5047,27000,14.73,Guard II,27102
5047,27000,12.1,Guard I,27101
5047,27000,27.04,Firefighter,27070
5047,27000,28.69,Detention Officer,27040
5047,27000,14.73,Detection Dog Handler,27030
5047,27000,28.69,Court Security Officer,27010
5047,27000,28.69,Corrections Officer,27008
5047,27000,12.1,Baggage Inspector,27007
5047,27000,17.11,Alarm Monitor,27004
5047,25000,26.93,Water Treatment Plant Operator,25210
5047,25000,25.34,Ventilation Equipment Tender,25190
5047,25000,34.83,Stationary Engineer,25070
5047,25000,26.93,Sewage Plant Operator,25040
5047,25000,34.83,Boiler Tender,25010
5047,24000,14.81,Homemaker,24630
5047,24000,14.81,Family Readiness And Support Services,24620
5047,24000,14.01,Chore Aide,24610
5047,24000,16.17,Child Care Center Clerk,24580
5047,24000,10.86,Child Care Attendant,24570
5047,24000,14.81,Case Manager,24550
5047,23000,20.55,Woodworker,23980
5047,23000,26.76,Woodcraft Worker,23970
5047,23000,26.18,Well Driller,23965
5047,23000,21.33,"Welder, Combination, Maintenance",23960
