WD,Area,Wage,Name,Code
5433,99000,0,Vending Machine Repairer),99842
5433,99000,20.04,Vending Machine Repairer,99841
5433,99000,16.04,Vending Machine Attendant,99840
5433,99000,15.31,Surveying Technician,99832
5433,99000,12.3,Surveying Aide,99831
5433,99000,16.19,Survey Party Chief,99830
5433,99000,12.24,School Crossing Guard,99820
5433,99000,11.58,Sales Clerk,99810
5433,99000,11.62,Refuse Collector,99730
5433,99000,15.45,Recycling Specialist,99711
5433,99000,12.89,Recycling Laborer,99710
5433,99000,12.19,Photofinishing Worker,99510
5433,99000,18.7,Pest Controller,99410
5433,99000,23.64,Mortician,99310
5433,99000,21.75,Marketing Analyst,99260
5433,99000,16.62,Laboratory Animal Caretaker II,99252
5433,99000,15.83,Laboratory Animal Caretaker I,99251
5433,99000,23.19,Flight Follower,99130
5433,99000,23.64,Embalmer,99095
5433,99000,10.2,Desk Clerk,99050
5433,99000,9.49,Cashier,99030
5433,99000,13.68,Cabin Safety Specialist,99020
5433,31000,16.7,"Truckdriver, Tractor-Trailer",31364
5433,31000,16.7,"Truckdriver, Heavy",31363
5433,31000,15.56,"Truckdriver, Medium",31362
5433,31000,13.89,"Truckdriver, Light",31361
5433,31000,13.27,Taxi Driver,31310
5433,31000,13.89,Shuttle Bus Driver,31290
5433,31000,10.22,Parking and Lot Attendant,31260
5433,31000,13.75,Driver Courier,31043
5433,31000,15.56,Bus Driver,31030
5433,31000,11.1,Bus Aide,31020
5433,31000,28.06,Airplane Pilot,31010
5433,30000,19.9,"Weather Observer, Senior (see 2)",30621
5433,30000,18.37,"Weather Observer, Combined Upper Air Or (see 2)",30620
5433,30000,25.54,Weather Forecaster II,30502
5433,30000,21,Weather Forecaster I,30501
5433,30000,23.19,Unexploded (UXO) Sweep Personnel,30495
5433,30000,23.19,Unexploded (UXO) Safety Escort,30494
5433,30000,33.63,Unexploded Ordnance (UXO) Technician III,30493
5433,30000,28.06,Unexploded Ordnance (UXO) Technician II,30492
5433,30000,23.19,Unexploded Ordnance (UXO) Technician I,30491
5433,30000,27.76,Technical Writer III,30463
5433,30000,22.95,Technical Writer II,30462
5433,30000,18.77,Technical Writer I,30461
5433,30000,23.19,Radiation Control Technician,30395
5433,30000,20.1,Photo-Optics Technician,30390
5433,30000,23.19,Petroleum Supply Specialist,30375
5433,30000,32.41,Paralegal/Legal Assistant IV,30364
5433,30000,26.79,Paralegal/Legal Assistant III,30363
5433,30000,21.9,Paralegal/Legal Assistant II,30362
5433,30000,17.68,Paralegal/Legal Assistant I,30361
5433,30000,20.1,Mathematical Technician,30240
5433,30000,23.19,Latent Fingerprint Technician II,30222
5433,30000,21,Latent Fingerprint Technician I,30221
5433,30000,19.7,Laboratory Technician,30210
5433,30000,18.96,Evidence Control Specialist,30095
5433,30000,20.1,Environmental Technician,30090
5433,30000,29.95,Engineering Technician VI,30086
5433,30000,24.76,Engineering Technician V,30085
5433,30000,20.24,Engineering Technician IV,30084
5433,30000,16.36,Engineering Technician III,30083
5433,30000,14.62,Engineering Technician II,30082
5433,30000,11.83,Engineering Technician I,30081
5433,30000,21.94,Drafter/CAD Operator IV,30064
5433,30000,18.37,Drafter/CAD Operator III,30063
5433,30000,16.47,Drafter/CAD Operator II,30062
5433,30000,14.73,Drafter/CAD Operator I,30061
5433,30000,23.19,Cryogenic Technician II,30052
5433,30000,21,Cryogenic Technician I,30051
5433,30000,20.81,Civil Engineering Technician,30040
5433,30000,20.1,Cartographic Technician,30030
5433,30000,20.26,Archeological Technician III,30023
5433,30000,16.47,Archeological Technician II,30022
5433,30000,14.73,Archeological Technician I,30021
5433,30000,27.71,"Air Traffic Control Specialist, Terminal (HFO) (see 2)",30012
5433,30000,25.17,"Air Traffic Control Specialist, Station (HFO) (see 2)",30011
5433,30000,36.49,"Air Traffic Control Specialist, Center (HFO) (see 2)",30010
5433,29000,19.07,Stevedore II,29042
